2451653|7022|2|224|12819|62|57|224|12819|62|57|1|1|1|10|698.20|13.96|712.16|18.63|820.30|300.22|382.06|15.92|852.89
2451627|64915|146|811|18405|55|293|811|18405|55|293|1|1|1|47|1248.79|49.95|1298.74|61.81|709.23|262.24|128.25|858.30|820.99
2452798||138||12431||290||12431|22|290||1|2|11||25.52|||16.72||16.36|165.47|
2452243|23325|67|687|9965|10|484|687|9965|10|484|1|1|5|33|1820.94|54.62|1875.56|70.16|1000.23|1802.73|14.56|3.65|1125.01
2452305|73981|65|552|10142|12|90|552|10142|12|90|1|1|5|18|82.08|7.38|89.46|35.63|1342.26|38.57|19.14|24.37|1385.27
2451288|74891|116|650|3045|56|420|650|3045|56|420|1|1|7|16|1956.00|156.48|2112.48|22.56|221.76|215.16|504.84|1236.00|400.80
2451337|44242|169|377|4679|5|391|377|4679|5|391|1|1|7|3|134.40|0.00|134.40|78.06|108.78|108.86|15.06|10.48|186.84
2451278|48347|128|887|14027|30|262|887|14027|30|262|1|1|7|43|520.30|20.81|541.11|54.02|3468.38|504.69|14.36|1.25|3543.21
2452098|72741|67|559|11393|4|415|559|11393|4|415|1|1|10|4|79.68|2.39|82.07|11.40|54.52|58.16|1.50|20.02|68.31
2452065|46137|110|204|6122|48|222|204|6122|48|222|1|1|11|28|707.00|28.28|735.28|16.84|382.20|424.20|248.86|33.94|427.32
2451936|25850|143|623|10156|24|389|623|10156|24|389|1|1|11|6|708.66|21.25|729.91|25.19|146.10|474.80|144.99|88.87|192.54
2452508|71077|139|10|14792|21|371|10|14792|21|371|1|1|12|26|528.84|37.01|565.85|90.97|237.12|449.51|23.00|56.33|365.10
2451590|30553|116|36|13169|53|86|36|13169|53|86|1|1|13|16|417.60|25.05|442.65|22.13|539.36|50.11|128.62|238.87|586.54
2452495||153|758||11||758|6520|||1||14|4||||11.84||9.39|||
2452566|67292|5|337|9665|17|321|337|9665|17|321|1|1|14|5|219.85|15.38|235.23|28.94|233.90|147.29|42.81|29.75|278.22
||109|||54||932|15277|||||15|24||||54.71|62.40||129.49|60.94|143.37
2452567|26030|21|543|4142|45|232|543|4142|45|232|1|1|16|40|1479.60|103.57|1583.17|4.99|856.80|665.82|219.72|594.06|965.36
2452569|29129|175|888|6292|15|158|888|6292|15|158|1|1|17|10|69.00|6.21|75.21|60.35|19.70|31.05|11.38|26.57|86.26
2451692|37442|170|623|4430|29|108|623|4430|29|108|1|1|18|11|1628.66|32.57|1661.23|13.11|506.22|1237.78|355.70|35.18|551.90
2451495|70505|133|84|15824|45|37|84|15824|45|37|1|1|18|23|447.58|17.90|465.48|30.56|302.22|331.20|51.20|65.18|350.68
2451396|74839|67|||||767||55|275||1|22|||0.00|||75.90|485.00|||
2451271|72837|58|141|7435|64|405|141|7435|64|405|1|1|22|30|247.20|9.88|257.08|23.57|717.30|229.89|15.05|2.26|750.75
2451430||154|764||||764|4314|25|||1|22|79||0.00|0.00|92.68|||0.00|0.00|
2452236|23926|85|618|8492|14|440|618|8492|14|440|1|1|24|9|107.46|3.22|110.68|54.67|33.03|33.31|68.21|5.94|90.92
2452273|38436|99|71|256|54|396|71|256|54|396|1|1|24|8|252.08|15.12|267.20|62.43|12.72|133.60|29.62|88.86|90.27
2451372|50248|62|691|6355|59|91|691|6355|59|91|1|1|26|77|1088.78|43.55|1132.33|1.05|3811.50|163.31|397.95|527.52|3856.10
2451514|46416|124|970|8878|26|50|970|8878|26|50|1|1|26|10|362.50|3.62|366.12|68.99|164.80|290.00|60.17|12.33|237.41
2451529|45968|106|943|796|65|421|943|796|65|421|1|1|26|35|340.20|13.60|353.80|50.62|453.60|336.79|2.25|1.16|517.82
2450982|37442|160|331|9894|56|258|331|9894|56|258|1|1|27|4|19.20|1.72|20.92|63.20|41.36|4.60|10.22|4.38|106.28
2450976|42382|44|968|16061|17|286|968|16061|17|286|1|1|27|11|380.49|15.21|395.70|76.70|77.66|144.58|11.79|224.12|169.57
2452492|36787|17|839|3829|43|82|839|3829|43|82|1|1|29|11|400.84|20.04|420.88|16.27|99.11|308.64|18.44|73.76|135.42
2451423|75368|56|553|16518|68|289|553|16518|68|289|1|1|30|19|168.15|3.36|171.51|94.69|107.54|117.70|42.88|7.57|205.59
2451476|48229|151|962|12631|20|369|962|12631|20|369|1|1|30|5|18.20|0.54|18.74|11.66|8.25|2.54|5.79|9.87|20.45
|43497|164||7613|28|251|318|7613|28||||32|7|470.26||484.36|99.14||470.26|0.00||
2451486|253|76|754|19179|51|347|754|19179|51|347|1|1|32|2|98.40|8.85|107.25|16.33|131.22|51.16|27.87|19.37|156.40
2451420|61938|146|841|3303|12|330|841|3303|12|330|1|1|32|44|4496.36|314.74|4811.10|5.38|1570.80|4316.50|151.08|28.78|1890.92
2451622|68694|40|758|17495|55|440|758|17495|55|440|1|1|33|5|1231.20|24.62|1255.82|13.24|580.20|295.48|823.43|112.29|618.06
2451734|55182|160|341|12194|23|428|341|12194|23|428|1|1|33|7|88.34|5.30|93.64|24.45|109.27|6.18|6.57|75.59|139.02
2451697|47575|80|237|14057|21|341|237|14057|21|341|1|1|33|3|164.85|1.64|166.49|3.49|57.06|6.59|137.68|20.58|62.19
2451615|73881|26|870|13636|2|32|870|13636|2|32|1|1|34|32|4588.16|183.52|4771.68|51.92|2136.96|917.63|3523.70|146.83|2372.40
2452120|67792|121|39|6345|28|2|39|6345|28|2|1|1|36|16|496.96|34.78|531.74|71.96|773.12|134.17|261.20|101.59|879.86
2452135|32975|13|233|8064|55|266|233|8064|55|266|1|1|36|33|1560.57|0.00|1560.57|73.33|845.46|1201.63|326.63|32.31|918.79
2452038|60285|151|96|2284|24|109|96|2284|24|109|1|1|36|91|15813.07|632.52|16445.59|65.73|8008.91|13441.10|1352.02|1019.95|8707.16
2451873|61736|140|984|13232|33|257|984|13232|33|257|1|1|38|54|2243.70|179.49|2423.19|60.32|1075.68|628.23|1373.14|242.33|1315.49
2451812|17353|128|13|360|36|124|13|360|36|124|1|1|38|11|15.18|0.00|15.18|42.63|5.50|9.71|1.53|3.94|48.13
2452054|39091|2|582|10519|32|392|582|10519|32|392|1|1|39|27|3078.54|30.78|3109.32|79.71|1835.19|1015.91|453.77|1608.86|1945.68
2452413|27263|43|730|12958|67|463|730|12958|67|463|1|1|40|13|1286.22|51.44|1337.66|97.11|95.16|424.45|17.23|844.54|243.71
2452476|28293|31|777|16189|57|150|777|16189|57|150|1|1|40|9|103.32|1.03|104.35|31.68|2.79|76.45|7.25|19.62|35.50
